epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.99166,0.78388,0.46667,1,0.74365,0.00011669,0.00011669,0.00011669
2,12.1977,0.71678,0.46667,1,0.7428,0.000225295,0.000225295,0.000225295
3,18.0854,0.64925,0.53333,1,0.68847,0.000307495,0.000307495,0.000307495
4,23.9294,0.54684,0.73333,1,0.6377,0.000363289,0.000363289,0.000363289
5,29.841,0.63747,0.73333,1,0.62034,0.000392679,0.000392679,0.000392679
6,35.685,0.65306,0.73333,1,0.59807,0.000395662,0.000395662,0.000395662
7,41.6409,0.613,0.73333,1,0.61435,0.000372241,0.000372241,0.000372241
8,47.5125,0.58715,0.73333,1,0.59952,0.000322414,0.000322414,0.000322414
9,53.6529,0.68342,0.73333,1,0.60429,0.000246183,0.000246183,0.000246183
10,59.5385,0.65884,0.66667,1,0.5728,0.000143545,0.000143545,0.000143545
